Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.1758,0.0979,0.2769,0.9846,0.0000,0.8000,0.03,110528
20,2.3275,0.2546,0.4308,0.9615,0.0000,0.6000,0.03,110528
30,1.7298,0.3526,0.5385,0.9692,0.0000,0.7000,0.03,110528
40,1.3045,0.5064,0.6308,0.9154,0.0000,0.3000,0.03,110528
50,0.9599,0.6321,0.7615,0.8231,0.1000,0.0000,0.03,110528
60,0.6342,0.7668,0.8538,0.7692,0.2000,0.0000,0.02,110528
70,0.3790,0.9018,0.9615,0.7077,0.6000,0.0000,0.03,110528
80,0.2361,1.0258,0.9846,0.6923,0.8000,0.0000,0.03,110528
90,0.1555,1.1151,0.9923,0.6462,0.9000,0.0000,0.02,110528
100,0.1070,1.1932,0.9923,0.6462,0.9000,0.0000,0.02,110528
110,0.0778,1.2618,1.0000,0.6308,1.0000,0.0000,0.03,110528
120,0.0598,1.3177,1.0000,0.6385,1.0000,0.0000,0.03,110528
130,0.0482,1.3650,1.0000,0.6385,1.0000,0.0000,0.03,110528
140,0.0404,1.4023,1.0000,0.6308,1.0000,0.0000,0.04,110528
150,0.0347,1.4331,1.0000,0.6154,1.0000,0.0000,0.04,110528
160,0.0305,1.4606,1.0000,0.6077,1.0000,0.0000,0.03,110528
170,0.0272,1.4848,1.0000,0.6077,1.0000,0.0000,0.03,110528
180,0.0246,1.5057,1.0000,0.6000,1.0000,0.0000,0.03,110528
190,0.0224,1.5242,1.0000,0.6000,1.0000,0.0000,0.03,110528
200,0.0206,1.5405,1.0000,0.6000,1.0000,0.0000,0.03,110528
210,0.0190,1.5550,1.0000,0.5923,1.0000,0.0000,0.03,110528
220,0.0176,1.5685,1.0000,0.6000,1.0000,0.0000,0.03,110528
230,0.0164,1.5809,1.0000,0.6000,1.0000,0.0000,0.03,110528
240,0.0154,1.5922,1.0000,0.5923,1.0000,0.0000,0.03,110528
250,0.0145,1.6027,1.0000,0.5923,1.0000,0.0000,0.03,110528
260,0.0136,1.6128,1.0000,0.5846,1.0000,0.0000,0.03,110528
270,0.0129,1.6222,1.0000,0.5846,1.0000,0.0000,0.03,110528
280,0.0122,1.6311,1.0000,0.5846,1.0000,0.0000,0.03,110528
290,0.0116,1.6396,1.0000,0.5846,1.0000,0.0000,0.04,110528
300,0.0111,1.6478,1.0000,0.5846,1.0000,0.0000,0.04,110528
310,0.0105,1.6557,1.0000,0.5846,1.0000,0.0000,0.04,110528
320,0.0101,1.6634,1.0000,0.5923,1.0000,0.0000,0.03,110528
330,0.0096,1.6707,1.0000,0.5923,1.0000,0.0000,0.03,110528
340,0.0092,1.6779,1.0000,0.5923,1.0000,0.0000,0.03,110528
350,0.0089,1.6848,1.0000,0.5846,1.0000,0.0000,0.03,110528
360,0.0085,1.6915,1.0000,0.5846,1.0000,0.0000,0.03,110528
370,0.0082,1.6981,1.0000,0.5846,1.0000,0.0000,0.03,110528
380,0.0079,1.7044,1.0000,0.5846,1.0000,0.0000,0.03,110528
390,0.0076,1.7104,1.0000,0.5769,1.0000,0.0000,0.03,110528
400,0.0073,1.7164,1.0000,0.5538,1.0000,0.0000,0.04,110528
410,0.0071,1.7222,1.0000,0.5538,1.0000,0.0000,0.04,110528
420,0.0068,1.7279,1.0000,0.5538,1.0000,0.0000,0.03,110528
430,0.0066,1.7336,1.0000,0.5538,1.0000,0.0000,0.03,110528
440,0.0064,1.7392,1.0000,0.5538,1.0000,0.0000,0.03,110528
450,0.0062,1.7446,1.0000,0.5538,1.0000,0.0000,0.03,110528
460,0.0060,1.7498,1.0000,0.5538,1.0000,0.0000,0.03,110528
470,0.0058,1.7550,1.0000,0.5692,1.0000,0.0000,0.02,110528
480,0.0057,1.7601,1.0000,0.5692,1.0000,0.0000,0.03,110528
490,0.0055,1.7651,1.0000,0.5692,1.0000,0.0000,0.03,110528
500,0.0054,1.7701,1.0000,0.5692,1.0000,0.0000,0.03,110528
