Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.5078,0.0594,0.2692,1.0000,0.0000,1.0000,0.02,110528
20,2.7321,0.1594,0.3615,0.9846,0.0000,0.8000,0.03,110528
30,2.1847,0.2400,0.4538,0.9692,0.0000,0.6000,0.03,110528
40,1.7440,0.3127,0.5308,0.9692,0.0000,0.7000,0.03,110528
50,1.3945,0.4238,0.6308,0.9385,0.0000,0.5000,0.03,110528
60,1.1093,0.5144,0.6769,0.8769,0.0000,0.1000,0.03,110528
70,0.8442,0.6032,0.8000,0.8231,0.1000,0.0000,0.03,110528
80,0.5954,0.6994,0.8769,0.7846,0.2000,0.0000,0.03,110528
90,0.4021,0.8000,0.9538,0.7615,0.5000,0.0000,0.03,110528
100,0.2805,0.8958,0.9692,0.7154,0.7000,0.0000,0.03,110528
110,0.2028,0.9654,0.9846,0.7000,0.8000,0.0000,0.03,110528
120,0.1514,1.0210,0.9923,0.6692,0.9000,0.0000,0.03,110528
130,0.1160,1.0779,0.9923,0.6538,0.9000,0.0000,0.03,110528
140,0.0916,1.1335,1.0000,0.6462,1.0000,0.0000,0.03,110528
150,0.0743,1.1834,1.0000,0.6385,1.0000,0.0000,0.03,110528
160,0.0619,1.2249,1.0000,0.6462,1.0000,0.0000,0.03,110528
170,0.0528,1.2588,1.0000,0.6538,1.0000,0.0000,0.03,110528
180,0.0459,1.2878,1.0000,0.6538,1.0000,0.0000,0.03,110528
190,0.0407,1.3139,1.0000,0.6462,1.0000,0.0000,0.03,110528
200,0.0365,1.3366,1.0000,0.6462,1.0000,0.0000,0.03,110528
210,0.0331,1.3563,1.0000,0.6385,1.0000,0.0000,0.03,110528
220,0.0303,1.3738,1.0000,0.6385,1.0000,0.0000,0.03,110528
230,0.0279,1.3891,1.0000,0.6385,1.0000,0.0000,0.03,110528
240,0.0258,1.4034,1.0000,0.6385,1.0000,0.0000,0.03,110528
250,0.0241,1.4166,1.0000,0.6385,1.0000,0.0000,0.03,110528
260,0.0225,1.4286,1.0000,0.6385,1.0000,0.0000,0.03,110528
270,0.0211,1.4399,1.0000,0.6308,1.0000,0.0000,0.04,110528
280,0.0199,1.4505,1.0000,0.6308,1.0000,0.0000,0.04,110528
290,0.0188,1.4602,1.0000,0.6308,1.0000,0.0000,0.03,110528
300,0.0178,1.4693,1.0000,0.6308,1.0000,0.0000,0.03,110528
310,0.0169,1.4780,1.0000,0.6308,1.0000,0.0000,0.03,110528
320,0.0161,1.4863,1.0000,0.6308,1.0000,0.0000,0.03,110528
330,0.0154,1.4942,1.0000,0.6231,1.0000,0.0000,0.03,110528
340,0.0147,1.5019,1.0000,0.6154,1.0000,0.0000,0.03,110528
350,0.0140,1.5092,1.0000,0.6154,1.0000,0.0000,0.03,110528
360,0.0134,1.5162,1.0000,0.6154,1.0000,0.0000,0.03,110528
370,0.0129,1.5230,1.0000,0.6154,1.0000,0.0000,0.02,110528
380,0.0124,1.5296,1.0000,0.6077,1.0000,0.0000,0.02,110528
390,0.0119,1.5360,1.0000,0.6077,1.0000,0.0000,0.03,110528
400,0.0115,1.5423,1.0000,0.6077,1.0000,0.0000,0.03,110528
410,0.0111,1.5483,1.0000,0.6077,1.0000,0.0000,0.03,110528
420,0.0107,1.5540,1.0000,0.6000,1.0000,0.0000,0.03,110528
430,0.0103,1.5597,1.0000,0.5923,1.0000,0.0000,0.06,110528
440,0.0100,1.5652,1.0000,0.5923,1.0000,0.0000,0.04,110528
450,0.0097,1.5706,1.0000,0.5846,1.0000,0.0000,0.05,110528
460,0.0094,1.5759,1.0000,0.5846,1.0000,0.0000,0.03,110528
470,0.0091,1.5810,1.0000,0.5846,1.0000,0.0000,0.04,110528
480,0.0088,1.5861,1.0000,0.5846,1.0000,0.0000,0.06,110528
490,0.0085,1.5910,1.0000,0.5846,1.0000,0.0000,0.04,110528
500,0.0083,1.5957,1.0000,0.5846,1.0000,0.0000,0.03,110528
