Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.1758,0.0979,0.2769,0.9846,0.0000,0.8000,0.02,110528
20,2.3275,0.2546,0.4308,0.9615,0.0000,0.6000,0.03,110528
30,1.7298,0.3526,0.5385,0.9692,0.0000,0.7000,0.03,110528
40,1.3045,0.5064,0.6308,0.9154,0.0000,0.3000,0.02,110528
50,0.9599,0.6321,0.7615,0.8231,0.1000,0.0000,0.02,110528
60,0.6342,0.7668,0.8538,0.7692,0.2000,0.0000,0.02,110528
70,0.3790,0.9018,0.9615,0.7077,0.6000,0.0000,0.03,110528
80,0.2361,1.0258,0.9846,0.6923,0.8000,0.0000,0.02,110528
90,0.1555,1.1151,0.9923,0.6462,0.9000,0.0000,0.02,110528
100,0.1070,1.1932,0.9923,0.6462,0.9000,0.0000,0.02,110528
