Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,0.9203,1.3855,0.7923,0.6000,0.1000,0.0000,0.02,110528
20,0.1204,2.5283,0.9923,0.3231,0.9000,0.0000,0.03,110528
30,0.0239,3.3003,1.0000,0.3154,1.0000,0.0000,0.03,110528
40,0.0101,3.6949,1.0000,0.3077,1.0000,0.0000,0.03,110528
50,0.0059,3.8187,1.0000,0.2846,1.0000,0.0000,0.03,110528
60,0.0043,3.9220,1.0000,0.2923,1.0000,0.0000,0.03,110528
70,0.0035,3.9795,1.0000,0.2769,1.0000,0.0000,0.03,110528
80,0.0031,4.0111,1.0000,0.2846,1.0000,0.0000,0.04,110528
90,0.0028,4.0320,1.0000,0.2923,1.0000,0.0000,0.03,110528
100,0.0026,4.0453,1.0000,0.3077,1.0000,0.0000,0.03,110528
