Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.7719,0.0427,0.2231,1.0000,0.0000,1.0000,0.02,110528
20,3.0917,0.0953,0.2846,0.9846,0.0000,0.8000,0.02,110528
30,2.5969,0.1656,0.4000,0.9769,0.0000,0.7000,0.01,110528
40,2.1882,0.2136,0.4538,0.9692,0.0000,0.6000,0.03,110528
50,1.8394,0.2653,0.5000,0.9769,0.0000,0.7000,0.03,110528
60,1.5411,0.3445,0.5923,0.9538,0.0000,0.7000,0.03,110528
70,1.2917,0.4163,0.6385,0.9308,0.0000,0.4000,0.03,110528
80,1.0707,0.4777,0.7000,0.8846,0.0000,0.1000,0.01,110528
90,0.8622,0.5429,0.7923,0.8462,0.1000,0.0000,0.03,110528
100,0.6641,0.6110,0.8538,0.8077,0.1000,0.0000,0.03,110528
110,0.4940,0.6868,0.9154,0.7769,0.5000,0.0000,0.01,110528
120,0.3703,0.7620,0.9615,0.7615,0.6000,0.0000,0.01,110528
130,0.2846,0.8292,0.9692,0.7462,0.7000,0.0000,0.02,110528
140,0.2233,0.8785,0.9846,0.7154,0.8000,0.0000,0.02,110528
150,0.1789,0.9205,0.9846,0.7000,0.8000,0.0000,0.03,110528
160,0.1458,0.9650,0.9923,0.7000,0.9000,0.0000,0.04,110528
170,0.1204,1.0114,0.9923,0.6846,0.9000,0.0000,0.04,110528
180,0.1010,1.0543,0.9923,0.6692,0.9000,0.0000,0.04,110528
190,0.0861,1.0925,1.0000,0.6692,1.0000,0.0000,0.02,110528
200,0.0743,1.1257,1.0000,0.6538,1.0000,0.0000,0.02,110528
210,0.0650,1.1550,1.0000,0.6615,1.0000,0.0000,0.01,110528
220,0.0575,1.1797,1.0000,0.6615,1.0000,0.0000,0.02,110528
230,0.0516,1.2016,1.0000,0.6538,1.0000,0.0000,0.01,110528
240,0.0467,1.2221,1.0000,0.6538,1.0000,0.0000,0.01,110528
250,0.0426,1.2410,1.0000,0.6538,1.0000,0.0000,0.03,110528
260,0.0392,1.2583,1.0000,0.6462,1.0000,0.0000,0.03,110528
270,0.0363,1.2735,1.0000,0.6462,1.0000,0.0000,0.01,110528
280,0.0338,1.2875,1.0000,0.6462,1.0000,0.0000,0.01,110528
290,0.0316,1.3001,1.0000,0.6462,1.0000,0.0000,0.02,110528
300,0.0296,1.3115,1.0000,0.6462,1.0000,0.0000,0.02,110528
310,0.0279,1.3223,1.0000,0.6462,1.0000,0.0000,0.01,110528
320,0.0264,1.3323,1.0000,0.6462,1.0000,0.0000,0.02,110528
330,0.0250,1.3420,1.0000,0.6462,1.0000,0.0000,0.02,110528
340,0.0237,1.3509,1.0000,0.6462,1.0000,0.0000,0.02,110528
350,0.0226,1.3594,1.0000,0.6462,1.0000,0.0000,0.03,110528
360,0.0216,1.3675,1.0000,0.6462,1.0000,0.0000,0.02,110528
370,0.0206,1.3753,1.0000,0.6462,1.0000,0.0000,0.03,110528
380,0.0197,1.3827,1.0000,0.6462,1.0000,0.0000,0.02,110528
390,0.0189,1.3898,1.0000,0.6462,1.0000,0.0000,0.02,110528
400,0.0182,1.3965,1.0000,0.6462,1.0000,0.0000,0.03,110528
410,0.0175,1.4030,1.0000,0.6462,1.0000,0.0000,0.01,110528
420,0.0168,1.4093,1.0000,0.6462,1.0000,0.0000,0.03,110528
430,0.0162,1.4153,1.0000,0.6462,1.0000,0.0000,0.02,110528
440,0.0156,1.4211,1.0000,0.6462,1.0000,0.0000,0.01,110528
450,0.0151,1.4268,1.0000,0.6385,1.0000,0.0000,0.01,110528
460,0.0146,1.4322,1.0000,0.6385,1.0000,0.0000,0.01,110528
470,0.0141,1.4375,1.0000,0.6385,1.0000,0.0000,0.01,110528
480,0.0137,1.4427,1.0000,0.6385,1.0000,0.0000,0.01,110528
490,0.0132,1.4477,1.0000,0.6385,1.0000,0.0000,0.01,110528
500,0.0128,1.4526,1.0000,0.6385,1.0000,0.0000,0.01,110528
