Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.3511,0.0746,0.2692,0.9923,0.0000,0.9000,0.04,110528
20,2.5390,0.2056,0.4154,0.9769,0.0000,0.7000,0.02,110528
30,1.9599,0.2846,0.4923,0.9692,0.0000,0.6000,0.03,110528
40,1.5207,0.3994,0.6000,0.9385,0.0000,0.5000,0.05,110528
50,1.1834,0.5196,0.6692,0.8923,0.0000,0.2000,0.04,110528
60,0.8821,0.6226,0.7923,0.8231,0.1000,0.0000,0.02,110528
70,0.5990,0.7356,0.8769,0.7846,0.2000,0.0000,0.03,110528
80,0.3819,0.8519,0.9538,0.7462,0.5000,0.0000,0.02,110528
90,0.2536,0.9599,0.9692,0.6923,0.7000,0.0000,0.04,110528
100,0.1759,1.0366,0.9923,0.6692,0.9000,0.0000,0.02,110528
110,0.1266,1.1015,0.9923,0.6462,0.9000,0.0000,0.03,110528
120,0.0946,1.1655,0.9923,0.6385,0.9000,0.0000,0.03,110528
130,0.0736,1.2223,1.0000,0.6385,1.0000,0.0000,0.02,110528
140,0.0595,1.2706,1.0000,0.6385,1.0000,0.0000,0.03,110528
150,0.0496,1.3094,1.0000,0.6385,1.0000,0.0000,0.04,110528
160,0.0426,1.3412,1.0000,0.6385,1.0000,0.0000,0.04,110528
170,0.0373,1.3701,1.0000,0.6462,1.0000,0.0000,0.04,110528
180,0.0332,1.3947,1.0000,0.6462,1.0000,0.0000,0.04,110528
190,0.0299,1.4163,1.0000,0.6385,1.0000,0.0000,0.04,110528
200,0.0272,1.4354,1.0000,0.6385,1.0000,0.0000,0.04,110528
210,0.0249,1.4522,1.0000,0.6308,1.0000,0.0000,0.04,110528
220,0.0230,1.4674,1.0000,0.6231,1.0000,0.0000,0.04,110528
230,0.0213,1.4811,1.0000,0.6231,1.0000,0.0000,0.04,110528
240,0.0199,1.4937,1.0000,0.6154,1.0000,0.0000,0.04,110528
250,0.0186,1.5055,1.0000,0.6154,1.0000,0.0000,0.04,110528
260,0.0175,1.5164,1.0000,0.6154,1.0000,0.0000,0.04,110528
270,0.0165,1.5266,1.0000,0.6154,1.0000,0.0000,0.04,110528
280,0.0156,1.5358,1.0000,0.6154,1.0000,0.0000,0.04,110528
290,0.0148,1.5447,1.0000,0.6077,1.0000,0.0000,0.03,110528
300,0.0140,1.5534,1.0000,0.6000,1.0000,0.0000,0.03,110528
310,0.0134,1.5616,1.0000,0.5923,1.0000,0.0000,0.02,110528
320,0.0127,1.5695,1.0000,0.5846,1.0000,0.0000,0.02,110528
330,0.0122,1.5769,1.0000,0.5846,1.0000,0.0000,0.03,110528
340,0.0116,1.5841,1.0000,0.5846,1.0000,0.0000,0.03,110528
350,0.0112,1.5913,1.0000,0.5846,1.0000,0.0000,0.03,110528
360,0.0107,1.5982,1.0000,0.5846,1.0000,0.0000,0.03,110528
370,0.0103,1.6048,1.0000,0.5769,1.0000,0.0000,0.05,110528
380,0.0099,1.6112,1.0000,0.5769,1.0000,0.0000,0.03,110528
390,0.0095,1.6175,1.0000,0.5769,1.0000,0.0000,0.06,110528
400,0.0092,1.6236,1.0000,0.5769,1.0000,0.0000,0.05,110528
410,0.0089,1.6295,1.0000,0.5769,1.0000,0.0000,0.05,110528
420,0.0086,1.6352,1.0000,0.5769,1.0000,0.0000,0.05,110528
430,0.0083,1.6407,1.0000,0.5769,1.0000,0.0000,0.05,110528
440,0.0080,1.6461,1.0000,0.5769,1.0000,0.0000,0.04,110528
450,0.0078,1.6515,1.0000,0.5769,1.0000,0.0000,0.04,110528
460,0.0075,1.6568,1.0000,0.5769,1.0000,0.0000,0.05,110528
470,0.0073,1.6621,1.0000,0.5692,1.0000,0.0000,0.04,110528
480,0.0071,1.6671,1.0000,0.5692,1.0000,0.0000,0.04,110528
490,0.0069,1.6720,1.0000,0.5692,1.0000,0.0000,0.03,110528
500,0.0067,1.6768,1.0000,0.5769,1.0000,0.0000,0.04,110528
