Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,1.8803,0.4890,0.5077,0.9308,0.0000,0.6000,0.04,110528
20,0.9966,0.9389,0.7692,0.7538,0.1000,0.0000,0.03,110528
30,0.3654,1.3880,0.9692,0.5462,0.7000,0.0000,0.03,110528
40,0.1252,1.7979,0.9923,0.4846,0.9000,0.0000,0.04,110528
50,0.0522,2.0754,1.0000,0.4538,1.0000,0.0000,0.04,110528
60,0.0287,2.2152,1.0000,0.4308,1.0000,0.0000,0.04,110528
70,0.0196,2.2939,1.0000,0.4231,1.0000,0.0000,0.03,110528
80,0.0151,2.3581,1.0000,0.4231,1.0000,0.0000,0.02,110528
90,0.0124,2.4103,1.0000,0.4231,1.0000,0.0000,0.03,110528
100,0.0107,2.4490,1.0000,0.4154,1.0000,0.0000,0.03,110528
