Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.9161,0.0371,0.2000,1.0000,0.0000,1.0000,0.01,110528
20,3.3171,0.0697,0.2692,1.0000,0.0000,1.0000,0.01,110528
30,2.8499,0.1211,0.3231,0.9846,0.0000,0.8000,0.01,110528
40,2.4737,0.1696,0.4077,0.9769,0.0000,0.7000,0.01,110528
50,2.1423,0.2044,0.4538,0.9769,0.0000,0.7000,0.01,110528
60,1.8519,0.2497,0.5000,0.9769,0.0000,0.7000,0.01,110528
70,1.5944,0.3132,0.5769,0.9692,0.0000,0.7000,0.01,110528
80,1.3718,0.3725,0.6385,0.9385,0.0000,0.5000,0.01,110528
90,1.1768,0.4240,0.6769,0.9231,0.0000,0.4000,0.02,110528
100,0.9935,0.4751,0.7538,0.8923,0.0000,0.2000,0.01,110528
110,0.8196,0.5277,0.7923,0.8462,0.1000,0.0000,0.02,110528
120,0.6542,0.5851,0.8538,0.8077,0.1000,0.0000,0.01,110528
130,0.5118,0.6468,0.9154,0.7846,0.5000,0.0000,0.01,110528
140,0.4030,0.7083,0.9538,0.7769,0.5000,0.0000,0.01,110528
150,0.3228,0.7646,0.9615,0.7538,0.6000,0.0000,0.01,110528
160,0.2627,0.8110,0.9692,0.7462,0.7000,0.0000,0.01,110528
170,0.2169,0.8485,0.9846,0.7231,0.8000,0.0000,0.01,110528
180,0.1817,0.8836,0.9846,0.7231,0.8000,0.0000,0.01,110528
190,0.1539,0.9212,0.9923,0.7154,0.9000,0.0000,0.03,110528
200,0.1315,0.9596,0.9923,0.7077,0.9000,0.0000,0.03,110528
210,0.1134,0.9957,0.9923,0.7077,0.9000,0.0000,0.03,110528
220,0.0988,1.0305,0.9923,0.6923,0.9000,0.0000,0.02,110528
230,0.0870,1.0610,1.0000,0.6769,1.0000,0.0000,0.03,110528
240,0.0772,1.0878,1.0000,0.6692,1.0000,0.0000,0.03,110528
250,0.0691,1.1124,1.0000,0.6615,1.0000,0.0000,0.03,110528
260,0.0623,1.1342,1.0000,0.6615,1.0000,0.0000,0.04,110528
270,0.0566,1.1537,1.0000,0.6615,1.0000,0.0000,0.04,110528
280,0.0518,1.1717,1.0000,0.6615,1.0000,0.0000,0.04,110528
290,0.0478,1.1886,1.0000,0.6538,1.0000,0.0000,0.03,110528
300,0.0443,1.2043,1.0000,0.6538,1.0000,0.0000,0.03,110528
310,0.0413,1.2186,1.0000,0.6538,1.0000,0.0000,0.03,110528
320,0.0387,1.2316,1.0000,0.6538,1.0000,0.0000,0.03,110528
330,0.0363,1.2437,1.0000,0.6538,1.0000,0.0000,0.03,110528
340,0.0342,1.2551,1.0000,0.6538,1.0000,0.0000,0.03,110528
350,0.0324,1.2658,1.0000,0.6538,1.0000,0.0000,0.03,110528
360,0.0307,1.2755,1.0000,0.6538,1.0000,0.0000,0.03,110528
370,0.0292,1.2844,1.0000,0.6538,1.0000,0.0000,0.03,110528
380,0.0278,1.2927,1.0000,0.6538,1.0000,0.0000,0.03,110528
390,0.0265,1.3004,1.0000,0.6538,1.0000,0.0000,0.03,110528
400,0.0254,1.3075,1.0000,0.6538,1.0000,0.0000,0.04,110528
410,0.0243,1.3146,1.0000,0.6538,1.0000,0.0000,0.04,110528
420,0.0233,1.3215,1.0000,0.6538,1.0000,0.0000,0.03,110528
430,0.0224,1.3282,1.0000,0.6538,1.0000,0.0000,0.03,110528
440,0.0216,1.3347,1.0000,0.6538,1.0000,0.0000,0.03,110528
450,0.0208,1.3411,1.0000,0.6538,1.0000,0.0000,0.03,110528
460,0.0200,1.3472,1.0000,0.6538,1.0000,0.0000,0.03,110528
470,0.0193,1.3531,1.0000,0.6538,1.0000,0.0000,0.03,110528
480,0.0187,1.3589,1.0000,0.6538,1.0000,0.0000,0.03,110528
490,0.0181,1.3645,1.0000,0.6538,1.0000,0.0000,0.03,110528
500,0.0175,1.3699,1.0000,0.6538,1.0000,0.0000,0.04,110528
